gen,nevals,Avg,Std,Min,MinTotal,Max
703,53,43.82,128.68631473470674,9.0,10800.0,555.0
704,57,27.09,92.66607739620792,9.0,10800.0,554.0
705,64,15.76,53.69732209337817,9.0,10800.0,550.0
706,49,15.31,54.04288944902929,9.0,10800.0,553.0
707,50,14.89,53.98442275323503,9.0,10800.0,552.0
708,56,9.12,0.3815756805667783,9.0,10800.0,11.0
709,48,25.3,92.51016160400975,9.0,10800.0,552.0
710,46,36.22,118.09992209988961,9.0,10800.0,552.0
711,60,19.97,76.00584911702518,9.0,10800.0,553.0
712,60,19.88,75.87493393736827,9.0,10800.0,551.0
713,51,14.5,53.923000658346155,9.0,10800.0,551.0
714,65,9.1,0.4358898943540674,9.0,10800.0,12.0
715,47,25.35,120.31337207476152,9.0,10800.0,1095.0
716,54,14.47,54.12457020614578,9.0,10800.0,553.0
717,42,14.42,53.928319091178814,9.0,10800.0,551.0
718,56,14.45,54.0259891163503,9.0,10800.0,552.0
719,51,19.93,75.93961482651859,9.0,10800.0,552.0
720,53,30.74,106.09652397698994,9.0,10800.0,551.0
721,46,14.53,54.11995103471548,9.0,10800.0,553.0
722,53,30.77,106.19245312167904,9.0,10800.0,552.0
723,61,30.75,131.1346922061435,9.0,10800.0,1095.0
724,46,14.47,54.12475496480333,9.0,10800.0,553.0
725,53,14.45,53.925573710439096,9.0,10800.0,551.0
726,63,19.91,76.0133008097925,9.0,10800.0,552.0
727,57,14.44,54.0269044088221,9.0,10800.0,552.0
728,59,30.68,170.11442502033745,8.0,9600.0,1636.0
729,48,30.67,106.21233967858915,8.0,9600.0,552.0
730,67,14.39,53.932530999388455,8.0,9600.0,551.0
731,59,25.08,92.60817242554785,8.0,9600.0,552.0
732,54,30.15,106.37051988215532,8.0,9600.0,553.0
733,51,8.1,0.3605551275463989,7.0,8400.0,9.0
734,57,13.44,53.8279332688893,7.0,8400.0,549.0
735,56,18.77,75.96339315749395,7.0,8400.0,551.0
736,48,13.14,54.26103942977872,6.0,7200.0,553.0
737,55,12.75,53.89756488005743,7.0,8400.0,549.0
738,59,23.38,120.21986358335297,6.0,7200.0,1092.0
739,56,34.08,141.01323909477432,6.0,7200.0,1093.0
740,57,6.64,0.6086049621881175,6.0,7200.0,9.0
741,54,11.59,53.81209808212277,6.0,7200.0,547.0
742,60,11.51,53.92077428969283,6.0,7200.0,548.0
743,49,11.55,53.91797010274032,6.0,7200.0,548.0
744,62,27.71,106.25509823062613,6.0,7200.0,549.0
745,55,11.48,54.02323203955868,6.0,7200.0,549.0
746,60,16.95,76.22288042313805,6.0,7200.0,553.0
747,63,6.03,0.22158519806160337,6.0,7200.0,8.0
748,47,27.73,106.30200891798799,6.0,7200.0,549.0
749,55,11.56,54.01746384272409,6.0,7200.0,549.0
750,56,16.93,76.08235735043968,6.0,7200.0,550.0
751,47,22.35,120.13295759282713,6.0,7200.0,1090.0
752,58,11.54,53.91872031122402,6.0,7200.0,548.0
753,61,6.07,0.40632499307820075,6.0,7200.0,9.0
754,46,22.29,120.09532005869333,6.0,7200.0,1090.0
755,45,6.04,0.27999999999999997,6.0,7200.0,8.0
756,64,11.45,53.82571411509559,6.0,7200.0,547.0
757,61,11.52,53.92114242113198,6.0,7200.0,548.0
758,51,11.51,53.92133065865492,6.0,7200.0,548.0
759,51,16.97,75.93516379122387,6.0,7200.0,549.0
760,56,27.77,106.29420068846653,6.0,7200.0,549.0
761,55,11.48,54.02323203955867,6.0,7200.0,549.0
762,60,27.72,131.01511973814317,6.0,7200.0,1090.0
